f_texture_id,lesion_id,texture_contrast_zero,texture_contrast_quarterRad,texture_contrast_halfRad,texture_contrast_threeQuaRad,texture_homogeneity_zero,texture_homogeneity_quarterRad,texture_homogeneity_halfRad,texture_homogeneity_threeQuaRad,texture_dissimilarity_zero,texture_dissimilarity_quarterRad,texture_dissimilarity_halfRad,texture_dissimilarity_threeQuaRad,texture_correlation_zero,texture_correlation_quarterRad,texture_correlation_halfRad,texture_correlation_threeQuaRad,texture_ASM_zero,texture_ASM_quarterRad,texture_ASM_halfRad,texture_ASM_threeQuaRad,texture_energy_zero,texture_energy_quarterRad,texture_energy_halfRad,texture_energy_threeQuaRad
1,1,741.8892045454546,822.1975308641976,478.05000000000007,478.05000000000007,0.04279267812821959,0.035263048599043646,0.04619246975876412,0.06108879078100154,21.76988636363637,23.339506172839503,20.392045454545457,17.494444444444444,0.09959388369756095,-0.04679380587759166,0.30285206710468876,0.38991196966856145,0.006230630165289255,0.006992074378905652,0.0062306301652892545,0.006126543209876547,0.07893089661648794,0.0835960154950564,0.07891180645033315,0.07825696460596693
2,2,713.9851973684209,657.5501730103806,574.3031045751635,574.3031045751635,0.0862242993199755,0.08084521477478503,0.08113495658203296,0.09179119879242864,18.557565789473685,17.333910034602077,17.699013157894736,16.283496732026144,0.43189845017451856,0.47312432900571927,0.44653480142170787,0.5217235640101445,0.0026699922091412724,0.0027777445193424375,0.002871526575484761,0.0028821713870733467,0.051661524366178053,0.05266893586888477,0.053568284514747475,0.053675806050060816
3,3,475.0999999999999,286.22222222222223,470.64583333333337,470.64583333333337,0.0840825461329606,0.08473074971076516,0.07281432569409177,0.09551419903525618,16.15,12.61111111111111,15.7,15.604166666666668,-0.23501141274877355,-0.047864817598374174,-0.3186244288236686,-0.58553999387888,0.05250000000000002,0.05864197530864197,0.051250000000000025,0.04861111111111112,0.22894234188206372,0.24207712894774625,0.22633529531027716,0.22040885763440426
4,4,382.6830484330485,341.96292914536156,338.4308321479375,338.4308321479375,0.09173994867616544,0.10401186647847042,0.09855192331594097,0.10068436557019766,14.361823361823363,13.225894813732653,15.67788461538462,13.246266002844953,0.7165314731397592,0.7501406766663391,0.6455824390371621,0.7517909194415968,0.0009332437439631167,0.0009298160616937389,0.000854992552820188,0.0009186396848296979,0.030429454913977506,0.030422302692707286,0.02919110877417972,0.030205250633017707
5,5,145.41752246469835,134.6622287968442,62.65721153846154,62.65721153846154,0.17193818610549805,0.18383853948755863,0.19837790892197976,0.215792513375485,7.678754813863927,7.345660749506904,6.451700898587933,5.320993589743592,0.7280658826417127,0.7529993043823336,0.8100302171138088,0.881143316124464,0.002992134677782156,0.0031467195402865265,0.00336728442870538,0.0036162988987508233,0.054096340695952885,0.05548132940817729,0.05739969670113483,0.05948641352588279
6,6,127.71230158730158,100.7347645429363,81.98881578947368,81.98881578947368,0.13541021514520882,0.1849970376801788,0.1478520860409384,0.14750325078319204,7.98611111111111,6.650277008310249,7.330026455026454,6.487500000000001,0.6716413692298645,0.7272779396017703,0.6676810294927384,0.7662769537599285,0.0026306304414770026,0.0029139586098940306,0.0025378978751994627,0.002747576177285319,0.05110166151282047,0.05383573241710675,0.05031536786114841,0.05232588195534065
7,7,154.81085526315792,128.2249134948097,67.125,67.125,0.12408678374979387,0.12231388114283442,0.15558145968662251,0.1486475119536295,9.189144736842106,8.512110726643598,6.996710526315789,6.397875816993462,0.2850573120480169,0.38731064086180933,0.596521933912183,0.6862228591401176,0.0029405081371191126,0.002954346810981668,0.003108228012465374,0.003170522021444743,0.05418508198654594,0.054316664195024934,0.055716619497055475,0.05629276248032285
8,8,214.48355263157896,313.58131487889284,181.3946078431373,181.3946078431373,0.1047418380540931,0.07870489559181518,0.09249883242605683,0.11667629050821293,10.753289473684212,13.43425605536332,13.125,9.95669934640523,0.5499059063833814,0.3876017751345956,0.37181871865486926,0.6244050233923787,0.0026010106475069248,0.0025098478227032705,0.0023331998788088623,0.0024643299585629455,0.050983792669058794,0.050070738869410984,0.04830216173921076,0.04963122318598435
9,9,1174.8873355263156,1305.8503460207612,1136.8129084967318,1136.8129084967318,0.045825780730542345,0.043331299411851355,0.04745060520121919,0.040970537502873376,25.354440789473678,27.270761245674734,27.54605263157895,24.82598039215686,0.40242451453263406,0.33980897662303483,0.3312367314815839,0.42049540580416567,0.0018584444252077543,0.0018872499131954849,0.001788110283933516,0.001843575120680082,0.043096837611529853,0.04343721383897322,0.042282692692532126,0.04292397199376192
10,10,207.74107142857142,202.45999999999998,245.81666666666663,245.81666666666663,0.10069254726902763,0.05056367131690541,0.08332105591856197,0.07909843221208326,11.526785714285714,11.68,13.8125,12.299999999999999,0.04142773544712144,0.06447536909844089,-0.2921413075430394,-0.12399718208268219,0.02008928571428572,0.021799999999999996,0.019451530612244902,0.018055555555555554,0.14159201739200927,0.147593124598134,0.13946405862880934,0.13430540467609245
